,emotion,min,max,median,mean
0,negative_emotion,0.0,0.5,0.0,0.012593773366176972
1,speaking,0.0,0.2,0.0,0.008783321741575638
2,communication,0.0,0.2,0.0,0.007278565221507792
3,war,0.0,0.1428571428571428,0.0,0.007050924632669971
4,fight,0.0,0.25,0.0,0.006891643745697748
5,positive_emotion,0.0,0.16,0.0,0.00611529475749892
6,trust,0.0,0.2,0.0,0.005566497375923536
7,crime,0.0,0.1428571428571428,0.0,0.0049959878148025565
8,death,0.0,0.2,0.0,0.004892510955075059
9,dispute,0.0,0.2,0.0,0.00435302176849772
